timestamp	x	y	z	qw	qx	qy	qz
1762766173.272293	-25.377306	-9.253377	-1.900176	0.267390	0.010754	0.034381	0.962915
1762766173.472676	-25.808174	-9.697493	-1.910214	0.267344	0.002257	-0.039642	0.962783
1762766173.673037	-26.220146	-10.096148	-1.925142	0.264518	0.017968	-0.117246	0.957058
1762766173.873214	-26.615517	-10.402475	-1.940055	0.249164	0.036581	-0.128745	0.959168
1762766174.073345	-27.023073	-10.616813	-1.944763	0.206209	0.024283	-0.089750	0.974081
1762766174.273747	-27.432369	-10.756077	-1.942657	0.129574	-0.012670	-0.062149	0.989539
1762766174.474013	-27.823009	-10.846301	-1.939818	0.023411	-0.071583	-0.044258	0.996177
1762766174.674347	-28.156322	-10.900652	-1.936720	0.089891	0.109220	0.037794	-0.989223
1762766174.874530	-28.405020	-10.917812	-1.927846	0.173388	0.105690	0.028058	-0.978764
1762766175.074834	-28.579872	-10.899887	-1.912347	0.225497	0.080995	0.010803	-0.970811
1762766175.275105	-28.693441	-10.860140	-1.893496	0.254287	0.034150	-0.007119	-0.966500
1762766175.475552	-28.782385	-10.817877	-1.875485	0.268745	-0.018184	-0.023931	-0.962742
1762766175.675590	-28.874376	-10.797032	-1.860932	0.274509	-0.034099	-0.030149	-0.960507
1762766175.875931	-28.984005	-10.804967	-1.848103	0.275454	-0.028132	-0.028865	-0.960469
1762766176.076298	-29.112455	-10.841798	-1.837148	0.272970	-0.021478	-0.025514	-0.961444
1762766176.276624	-29.250238	-10.902710	-1.829449	0.268809	-0.018657	-0.022610	-0.962747
1762766176.477594	-29.397631	-10.985170	-1.825280	0.264643	-0.018928	-0.020630	-0.963940
1762766176.677196	-29.552599	-11.085787	-1.824648	0.261849	-0.019062	-0.018535	-0.964743
1762766176.877145	-29.718071	-11.204169	-1.827244	0.260915	-0.021000	-0.016584	-0.964991
1762766177.078039	-29.895466	-11.338976	-1.832523	0.261898	-0.020324	-0.013621	-0.964785
1762766177.278081	-30.090855	-11.492619	-1.840100	0.264353	-0.018709	-0.010417	-0.964188
1762766177.478661	-30.289030	-11.650876	-1.848732	0.267261	-0.018411	-0.008007	-0.963415
1762766177.679082	-30.505888	-11.824172	-1.858648	0.269886	-0.034522	-0.010723	-0.962214
1762766177.878719	-30.748615	-12.014241	-1.871023	0.271060	-0.079438	-0.022258	-0.959021
1762766178.079133	-31.048157	-12.239652	-1.881891	0.271838	-0.082983	-0.022372	-0.958498
1762766178.279361	-31.388903	-12.487715	-1.887180	0.272074	-0.066860	-0.017277	-0.959795
1762766178.479630	-31.791786	-12.774335	-1.888849	0.271541	-0.051353	-0.012641	-0.960973
1762766178.679919	-32.217728	-13.072337	-1.888232	0.270647	-0.040684	-0.009546	-0.961771
1762766178.880348	-32.663258	-13.380123	-1.886217	0.269855	-0.030794	-0.006714	-0.962385
1762766179.080651	-33.157005	-13.717744	-1.883086	0.269427	-0.019489	-0.003393	-0.962818
1762766179.280813	-33.641853	-14.046504	-1.879661	0.269545	-0.010554	-0.004007	-0.962922
1762766179.480967	-34.130058	-14.381593	-1.877244	0.270211	0.013997	-0.041636	-0.961799
1762766179.681135	-34.602455	-14.750331	-1.880467	0.269481	0.058047	-0.100297	-0.956008
1762766179.881631	-35.003765	-15.173386	-1.885426	0.267411	0.076471	-0.118362	-0.953223
1762766180.082144	-35.332832	-15.681354	-1.881388	0.265946	0.066320	-0.096734	-0.956826
1762766180.282089	-35.580379	-16.232414	-1.870968	0.265174	0.053473	-0.073326	-0.959920
1762766180.482697	-35.774036	-16.835340	-1.858486	0.265572	0.044026	-0.056213	-0.961443
1762766180.682685	-35.918999	-17.460999	-1.846854	0.267358	0.037307	-0.043766	-0.961880
1762766180.882943	-36.029259	-18.129749	-1.836873	0.270292	0.031447	-0.033224	-0.961691
1762766181.083439	-36.105125	-18.784590	-1.829822	0.273719	0.013750	-0.007638	-0.961681
1762766181.283675	-36.174133	-19.467899	-1.828365	0.276435	-0.022013	0.056262	-0.959132
1762766181.483785	-36.269688	-20.091236	-1.836745	0.276220	-0.051883	0.112604	-0.953064
1762766181.684194	-36.425148	-20.643393	-1.844655	0.276285	-0.054835	0.108522	-0.953353
1762766181.884456	-36.650917	-21.139557	-1.847545	0.276054	-0.046970	0.084307	-0.956285
1762766182.084663	-36.924206	-21.566050	-1.848456	0.276270	-0.052013	0.062950	-0.957605
1762766182.285092	-37.254536	-21.960476	-1.850547	0.275626	-0.062533	0.058713	-0.957430
1762766182.485035	-37.638840	-22.313524	-1.855862	0.272021	-0.059311	0.095664	-0.955686
1762766182.685319	-38.092083	-22.615465	-1.859032	0.274496	-0.050768	0.072866	-0.957479
1762766182.885969	-38.597145	-22.873714	-1.857349	0.279478	-0.035533	0.019596	-0.959294
1762766183.086081	-39.125870	-23.114445	-1.855175	0.281493	-0.024985	0.041542	-0.958338
1762766183.286058	-39.681229	-23.326149	-1.857659	0.281656	-0.012463	0.107856	-0.953353
1762766183.486447	-40.276573	-23.462946	-1.862092	0.283770	-0.001407	0.139234	-0.948729
1762766183.686753	-40.911709	-23.495918	-1.857822	0.285918	0.005010	0.121639	-0.950489
1762766183.887055	-41.540413	-23.437246	-1.846226	0.282382	0.005377	0.093169	-0.954752
1762766184.087293	-42.213177	-23.302929	-1.831118	0.272073	0.004568	0.061735	-0.960283
